delta,group,gt_area,iou1,iou2,iou3,key,scene,top1_area_over_gt,union3_area_over_gt,union3_intrusion_other_gt_fraction,variant,view
0.0,unseen,1499,0.1197311046511628,0.08410976388002553,0.04696073540939215,20034,scene0059_00,3.1114076050700468,8.801200800533689,0.6022890927006747,g0_step6000,3
0.0,unseen,4943,0.27296710117939166,0.2014775786037455,0.1310925622298405,8022,scene0072_02,2.319037022051386,5.1408051790410685,0.35870292393058123,g0_step6000,2
0.0,unseen,15045,0.5955570075138844,0.5596420539730135,0.46089439364123935,20031,scene0072_02,0.6231306081754736,1.5165835825855767,0.0,g0_step6000,2
0.0,unseen,3211,0.22181818181818183,0.13944023193577162,0.09632197188523012,8022,scene0072_02,3.2902522578635938,7.865151043288695,0.3053652742031281,g0_step6000,3
0.0,unseen,11436,0.6561728920275675,0.5517510160904181,0.4024855819998375,20031,scene0072_02,0.7020811472542847,2.019587268275621,0.0,g0_step6000,3
0.0,unseen,5335,0.25473289597000937,0.18418210517570824,0.164190623191202,5015,scene0132_01,0.25473289597000937,2.3930646672914713,0.39273126028041044,g0_step6000,2
0.0,unseen,7821,0.3104017975151996,0.23855040572135883,0.24194322545255073,5016,scene0132_01,1.5353535353535352,3.6317606444188724,0.40466131530770316,g0_step6000,2
0.0,unseen,127,0.26436781609195403,0.008822401227464518,0.008540660972892685,5017,scene0132_01,1.5984251968503937,63.15748031496063,0.7590076050367784,g0_step6000,2
0.0,unseen,3606,0.49145299145299143,0.24065073579046847,0.23739761603516016,6013,scene0132_01,2.000277315585136,4.153078202995008,0.6370192307692307,g0_step6000,2
0.15930997798156626,unseen,27651,0.1860458161373288,0.3063770922672569,0.34535579411889505,7012,scene0132_01,0.4342700083179632,1.2932986148783046,0.21800285226923186,g0_step6000,2
0.0,unseen,3403,0.0695910290237467,0.060448114804034385,0.06613416367697827,5015,scene0132_01,1.8589479870702321,3.6282691742580075,0.3624362193245323,g0_step6000,3
0.0,unseen,6387,0.2843691148775895,0.22775867930943297,0.1838277891270543,5016,scene0132_01,1.66948489118522,5.078910286519493,0.46989734578747805,g0_step6000,3
0.0,unseen,1374,0.6283551273227804,0.11925560197493354,0.06622144112478032,5017,scene0132_01,0.7219796215429404,10.038573508005822,0.36627274704560286,g0_step6000,3
0.0,unseen,1047,0.2532043530834341,0.10008603383997705,0.09141709595739107,6013,scene0132_01,3.9493791786055397,10.938872970391595,0.7874792630751768,g0_step6000,3
0.21687250254149426,unseen,24077,0.2238427393785669,0.35562671244181826,0.4407152419200612,7012,scene0132_01,0.44287078955019316,0.8773518295468704,0.25823707631130466,g0_step6000,3
0.20898169074249529,unseen,22277,0.39918157456362713,0.5466495259521131,0.6081632653061224,4004,scene0472_01,0.734389729317233,1.2461731831036496,0.0,g0_step6000,2
0.28950256243097866,unseen,31642,0.2518555430249941,0.42151643106297043,0.5413581054559727,4004,scene0472_01,0.50850135895329,0.8615447822514379,0.0,g0_step6000,3
0.0,unseen,17059,0.3814806110458284,0.3229021085252476,0.31611441075336044,6002,scene0559_01,0.7229028665220705,1.9616624655607011,0.22543628974420274,g0_step6000,2
0.0,unseen,3378,0.29566744730679156,0.13589452372722335,0.12869435091657314,6003,scene0559_01,1.6204854943753702,6.1450562462995855,0.3033529241738125,g0_step6000,2
0.0,unseen,731,0.10232723396695684,0.08518189884649512,0.0301665444642296,7015,scene0559_01,7.488372093023256,25.908344733242135,0.7501452030202228,g0_step6000,2
