context_visible,group,gt_area,key,oracle_iou,oracle_pred_area,scene,variant,view
True,training,433,8020,0.0,1297,scene0012_01,g0_step6000,3
True,training,323,18009,0.02628366832126292,12289,scene0009_00,g0_step6000,2
True,training,12236,20017,0.24336194849271311,50044,scene0009_00,g0_step6000,2
True,training,1504,18009,0.06048176297904854,24867,scene0009_00,g0_step6000,3
True,training,12316,20017,0.29610113176201847,37615,scene0009_00,g0_step6000,3
True,training,16505,5010,0.6698593235558216,22548,scene0001_01,g0_step6000,2
True,training,5775,5018,0.4962103917450461,10610,scene0001_01,g0_step6000,2
True,training,12691,6002,0.5359819765174819,22761,scene0001_01,g0_step6000,2
True,training,915,7006,0.0,0,scene0001_01,g0_step6000,2
True,training,149,7007,0.013027001421127428,4128,scene0001_01,g0_step6000,2
True,training,16394,5010,0.7037667398217405,21646,scene0001_01,g0_step6000,3
True,training,6389,5018,0.497553598434303,10445,scene0001_01,g0_step6000,3
True,training,11064,6002,0.5102872854840239,20794,scene0001_01,g0_step6000,3
True,training,724,7007,0.04330583756345178,5853,scene0001_01,g0_step6000,3
